"STATE","VIOLENTCRIME","MURDER","RAPE","ROBBERY","AGGRAVATEDASSAULT","PROPERTYCRIME","BURGLARY","LARCENYTHEFT","MOTORVEHICLETHEFT","YEAR"
"New Mexico",588.9,6.9,46.5,78.4,457.1,3435.4,1020.5,2160.1,254.8,2010
"New York",392.1,4.5,14.3,146.9,226.4,1941.2,335.3,1500.4,105.4,2010
"North Carolina",363.4,5,21.1,100.8,236.5,3447.3,1076.9,2178.4,192,2010
"North Dakota",225,1.5,35.2,13.4,174.8,1768.5,292.3,1348.5,127.7,2010
"Ohio",315.2,4.1,32.1,142.8,136.2,3245.2,923.3,2138.8,183.1,2010
"Oklahoma",479.5,5.2,38.7,89,346.7,3415.5,999,2144.8,271.6,2010
"Oregon",252,2.4,31.7,62.4,155.6,3012.9,512.6,2267.7,232.6,2010
"Pennsylvania",366.2,5.2,26.9,128.8,205.3,2173,434.3,1607.4,131.2,2010
"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
"Rhode Island",256.6,2.8,28.1,74.1,151.6,2556.6,581.5,1747.2,227.9,2010
"South Carolina",597.7,6.1,31.7,107.7,452.3,3900.4,997.9,2617.2,285.3,2010
"South Dakota",268.5,2.8,47.9,18.9,198.9,1852.4,390.7,1364.1,97.6,2010
"Tennessee",613.3,5.6,33.7,131.8,442.2,3657.9,1012.2,2411.9,233.8,2010
"Texas",450.3,5,30.3,130.6,284.4,3783,909.1,2603.3,270.5,2010
"Utah",212.7,1.9,34.3,45.9,130.6,3179.6,543.3,2421,215.2,2010
"Vermont",130.2,1.1,21.1,11.8,96.2,2282.3,537.9,1673.9,70.5,2010
"Virginia",213.6,4.6,19.1,70.7,119.1,2327.2,382.8,1812.5,131.8,2010
"Washington",313.8,2.3,38.1,88.2,185.3,3706.6,820.3,2503.7,382.6,2010
"West Virginia",314.6,3.3,19.1,44.7,247.5,2239.6,580.5,1531.7,127.4,2010
"Wisconsin",248.7,2.7,20.9,79.2,145.9,2507.7,467.1,1897.5,143.1,2010
"Wyoming",195.9,1.4,29.1,13.5,151.9,2461.6,381.3,1975.4,104.9,2010
"Alabama",420.1,6.3,28.5,102.2,283,3606.1,1064.3,2319.7,222,2011
"Alaska",606.5,4,58.1,79.7,464.6,2632.8,391,2056,185.8,2011
"Arizona",405.9,6.2,34.9,109.9,254.8,3554.5,847.3,2401.3,305.9,2011
"Arkansas",480.9,5.5,41.3,82.6,351.5,3754.1,1173.3,2383,197.8,2011
"California",411.1,4.8,20.3,144,242,2583.8,610.4,1583.8,389.6,2011
"Colorado",320.2,2.9,44.5,64.6,208.1,2606.3,503.6,1886.8,215.9,2011
"Connecticut",272.8,3.6,19.2,102.7,147.3,2167.4,437.9,1542.1,187.4,2011
"Delaware",559.5,4.5,31.9,169.5,353.5,3410.6,830.2,2411.8,168.7,2011
"District of Columbia",1202.1,17.5,28,662.3,494.3,4795.5,623,3451.5,721,2011
"Florida",515.3,5.2,27.7,134.4,348,3522,892.9,2421.1,207.9,2011
"Georgia",373.2,5.6,20.9,123.8,222.9,3626.5,974.6,2351.7,300.3,2011
"Hawaii",287.2,1.2,31.6,75.8,178.6,3337.8,728,2305.6,304.3,2011
"Idaho",200.9,2.3,27.4,11.6,159.6,2068.6,436.6,1547.9,84.1,2011
"Illinois",429.3,5.6,28.8,157.4,237.5,2688.8,604.1,1861.1,223.5,2011
"Indiana",331.8,4.8,27,107.1,193,3161.8,775.7,2158.8,227.3,2011
"Iowa",255.6,1.5,27.2,26.9,199.9,2330.3,568.2,1633.6,128.5,2011
"Kansas",353.9,3.8,37.8,50.8,261.5,3080.1,654.4,2193.2,232.5,2011
"Kentucky",238.2,3.5,33.5,84.5,116.7,2708.8,745,1811.1,152.7,2011
"Louisiana",555.3,11.2,27.7,114.5,401.9,3688.5,1012.5,2476.6,199.4,2011
"Maine",123.2,2,29.6,27.8,63.8,2545.5,591.3,1873,81.2,2011
"Maryland",494.1,6.8,20.5,177.5,289.3,2860.2,614,1970.5,275.7,2011
"Massachusetts",428.4,2.8,24.7,102.7,298.1,2258.7,554.6,1540.3,163.7,2011
"Michigan",445.3,6.2,44,105.2,289.9,2612.1,724.9,1629,258.2,2011
"Minnesota",221.2,1.4,31.1,63.4,125.4,2549.4,481.3,1915.1,153.1,2011
"Mississippi",269.8,8,29,83.7,149.1,3025.5,1037.7,1822.5,165.4,2011
"Missouri",447.4,6.1,24.3,104.3,312.7,3308.8,745.7,2308.3,254.8,2011
"Montana",267.5,2.8,35.8,16.9,212,2319.7,339.6,1834,146.1,2011
"Nebraska",253.2,3.6,37.7,54.1,157.7,2752.9,472.9,2057.3,222.7,2011
"Nevada",562.1,5.2,33.5,157.9,365.6,2560.5,742.3,1470,348.3,2011
"New Hampshire",188,1.3,32.5,36,118.2,2283.9,436.1,1773.9,73.9,2011
"New Jersey",308.4,4.3,11.4,138.4,154.3,2150.7,490.2,1463.1,197.4,2011
"New Mexico",567.5,7.5,41.2,82.7,436.2,3531.5,1028.9,2242.9,259.7,2011
"New York",398.1,4,14.1,145.9,234.1,1912.4,336,1477.2,99.2,2011
"North Carolina",349.8,5.3,20.7,98.9,224.9,3526.8,1099.2,2251.2,176.4,2011
"North Dakota",247,3.5,37.9,13.3,192.3,1936.7,355.7,1437.7,143.3,2011
"Ohio",307.4,4.4,31.5,139.1,132.4,3354.7,976.3,2195.9,182.5,2011
"Oklahoma",454.8,5.5,37,86.6,325.7,3356.2,958.5,2106.8,290.9,2011
"Oregon",247.6,2.1,31.4,57.4,156.6,3114.6,528.1,2352.8,233.7,2011
"Pennsylvania",355,5,26.1,126.6,197.3,2222.3,454,1636.1,132.2,2011
"Puerto Rico",284.4,30.6,1.2,174.4,78.1,1395.2,447.6,789.7,157.9,2011
"Rhode Island",247.5,1.3,28.9,71,146.3,2676.8,662.4,1796.8,217.5,2011
"South Carolina",571.9,6.8,34.5,92.2,438.4,3904.2,1002.8,2609.4,292,2011
"South Dakota",254.1,2.5,60.2,20.3,171.1,1817.7,351.8,1351.1,114.8,2011
"Tennessee",608.2,5.8,31.6,126.2,444.5,3595.9,979.9,2396.8,219.2,2011
"Texas",408.5,4.4,29,110.6,264.5,3472.3,838.3,2387.3,246.7,2011
"Utah",195,1.9,30.3,38.4,124.4,2973.1,465.8,2287.8,219.5,2011
"Vermont",135.2,1.3,19,13.6,101.4,2309,581.5,1647.7,79.7,2011
"Virginia",196.7,3.7,19,67.1,106.9,2249.6,377.9,1751.6,120.1,2011
"Washington",294.6,2.4,33.5,82.5,176.1,3574.6,827.7,2383.3,363.6,2011
"West Virginia",315.9,4.3,20.9,49,241.6,2273.9,603.2,1549.2,121.5,2011
"Wisconsin",236.9,2.4,20.4,78.2,135.9,2432.7,466.7,1821.9,144.1,2011
"Wyoming",219.3,3.2,25.7,12.5,177.9,2266.4,327.9,1846.8,91.7,2011
"Alabama",449.9,7.1,26.9,104.1,311.8,3502.2,984.7,2312.8,204.8,2012
"Alaska",603.2,4.1,79.7,86.1,433.2,2739.4,403.3,2128,208.1,2012
"Arizona",428.9,5.5,34.7,112.7,276,3539.2,807.8,2439.1,292.3,2012
"Arkansas",469.1,5.9,42.3,78.7,342.3,3660.1,1081.3,2384.7,194.1,2012
"California",423.1,5,20.6,148.6,248.9,2758.7,646.1,1669.5,443.2,2012
"Colorado",308.9,3.1,40.7,65.4,199.6,2684.7,504.2,1947.4,233.1,2012
"Connecticut",283,4.1,25.6,102.7,150.6,2140,409.7,1550.7,179.6,2012
"Delaware",547.4,6.2,26.5,162.7,352,3340.9,803.7,2380.6,156.6,2012
"District of Columbia",1243.7,13.9,37.3,638.3,554.1,4860.8,556.5,3725.3,579,2012
"Florida",487.1,5.2,27.2,123.7,330.9,3276.7,794.9,2288.6,193.2,2012
"Georgia",378.9,5.9,21.4,125.6,226,3410.6,874.9,2248,287.7,2012
"Hawaii",239.2,2.1,20.5,74.7,141.9,3075.2,573.1,2243.2,258.9,2012
"Idaho",207.9,1.8,30,15.2,160.9,1983.5,450.3,1447.7,85.5,2012
"Illinois",414.8,5.8,27.7,151.2,230,2578.7,552.2,1826.9,199.5,2012
"Indiana",345.7,4.7,25.5,100.9,214.6,3029.2,728.3,2092,209,2012
"Iowa",263.9,1.5,28.3,31.3,202.8,2271.8,556.1,1584.8,130.9,2012
"Kansas",354.6,2.9,36.5,52,263.2,3143.2,650.3,2258,234.9,2012
"Kentucky",222.6,4.5,29,80.7,108.4,2552.9,675.4,1725.2,152.2,2012
"Louisiana",496.9,10.8,25.2,119,342,3540.6,915.7,2453.7,171.3,2012
"Maine",122.7,1.9,28,31.8,61,2509.9,561.3,1873.7,74.9,2012
"Maryland",476.8,6.3,21,172.3,277.2,2753.5,573.2,1924.9,255.3,2012
"Massachusetts",405.5,1.8,24.7,98.6,280.4,2153,519.7,1494.4,138.9,2012
"Michigan",454.5,7,46.4,105.6,295.5,2530.5,664.4,1612,254.1,2012
"Minnesota",230.9,1.8,30.5,64.6,134,2568.3,471.8,1939.3,157.2,2012
"Mississippi",260.8,7.4,27.5,76.5,149.4,2811,940.6,1725.6,144.8,2012
"Missouri",450.9,6.5,25.1,96,323.4,3314.4,705.2,2338.4,270.8,2012
"Montana",272.2,2.7,37.7,19,212.8,2583.7,387.4,2028.3,168,2012
"Nebraska",259.4,2.9,38.3,60.9,157.4,2754.9,470.8,2060.7,223.5,2012
"Nevada",607.6,4.5,33.7,178.3,391.1,2809.4,801.8,1644.6,363.1,2012
"New Hampshire",187.9,1.1,34,35.7,117,2324,412.2,1834.3,77.5,2012
"New Jersey",290.2,4.4,11.7,128.4,145.7,2047.3,477.6,1383.7,185.9,2012
"New Mexico",559.1,5.6,45.9,88.6,419.1,3600.7,1025.3,2313.4,261.9,2012
"New York",406.8,3.5,14.6,146.4,242.3,1922,329.9,1503.5,88.6,2012
"North Carolina",353.4,4.9,20.3,96.3,231.8,3369.5,1018.5,2185.7,165.3,2012
"North Dakota",244.7,4,38.9,18.7,183.1,2010.1,339.8,1505.8,164.5,2012
"Ohio",299.7,4.3,31.7,132,131.7,3117.4,895.9,2052.5,169,2012
"Oklahoma",469.3,5.7,41.6,84.7,337.3,3401,936.6,2161.3,303.1,2012
"Oregon",247.6,2.4,29.2,61.9,154.1,3224.2,561.7,2400.9,261.7,2012
"Pennsylvania",348.7,5.4,26.1,122.8,194.4,2166.3,445.5,1603.1,117.7,2012
"Puerto Rico",273.8,26.7,0.9,171.7,74.5,1409.3,416.9,833,159.4,2012
"Rhode Island",252.4,3.2,27.4,67.9,153.9,2572.3,566.4,1755.7,250.2,2012
"South Carolina",558.8,6.9,35.5,95,421.4,3822.2,954.5,2588.3,279.5,2012
"South Dakota",321.8,3,70.2,19,229.7,2060.1,391,1541.4,127.8,2012
"Tennessee",643.6,6,31.5,126.5,479.6,3371.4,870.2,2300.1,201,2012
"Texas",408.6,4.4,29.6,116.6,258,3361.8,785.9,2326.4,249.4,2012
"Utah",205.8,1.8,33,38.5,132.5,2991.8,453.3,2328.4,210.1,2012
"Vermont",142.6,1.3,19.3,17.9,104.2,2398.7,633.4,1695.8,69.5,2012
"Virginia",190.1,3.8,17.7,57.5,111.1,2162.1,360.5,1690.7,110.9,2012
"Washington",295.6,3,31.8,83.3,177.5,3658.6,880.5,2395.3,382.8,2012
"West Virginia",316.3,3.9,22.7,45.2,244.6,2364.9,608.5,1637.3,119.1,2012
"Wisconsin",280.5,3,21.3,80.7,175.5,2453.8,488,1822.3,143.5,2012
"Wyoming",201.4,2.4,26.7,10.6,161.7,2293.8,368.7,1823.9,101.3,2012
"Alabama",430.8,7.2,29.5,96.2,285.2,3351.3,877.8,2254.8,218.7,2013
"Alaska",640.4,4.6,87.6,84.9,425.5,2885.2,396.7,2258,230.6,2013
"Arizona",416.5,5.4,35.4,101.1,263.9,3399.1,732.4,2403.5,263.2,2013
"Arkansas",460.3,5.4,33.6,76.3,330.5,3602.6,1030.1,2380.6,191.9,2013
"California",402.1,4.6,19.5,139.9,232.3,2658.1,605.4,1621.5,431.2,2013
"Colorado",308,3.4,38.9,59.8,189.1,2658.5,476.1,1944.5,237.9,2013
"Connecticut",262.5,2.4,18.6,98.2,135.4,1974.1,358.5,1442.6,173,2013
"Delaware",491.4,4.2,28.7,132.4,313.7,3065.5,662.3,2259.4,143.9,2013
"District of Columbia",1300.3,15.9,42.7,630.8,592.5,4808.3,513,3795,500.3,2013
"Florida",470.4,5,24.1,118.7,312.3,3105.3,710.5,2216.3,178.6,2013
"Georgia",365.7,5.6,19.9,125,209.3,3346.6,823.2,2254.9,268.5,2013
"Hawaii",251.6,1.5,21.1,80.6,142.2,3053.7,536.5,2254.8,262.4,2013
"Idaho",217,1.7,28.3,13.6,161,1864.3,411.9,1357.1,95.3,2013
"Illinois",380.2,5.5,25.4,137.6,204,2274.3,452.1,1659.8,162.5,2013
"Indiana",357.4,5.4,25,108.2,211.3,2854,653,1984.9,216.2,2013
"Iowa",271.4,1.4,24.5,30.4,204.6,2193.9,513.5,1543,137.4,2013
"Kansas",339.9,3.9,28.9,46.6,248.1,2946.8,600.4,2117,229.5,2013
"Kentucky",209.8,3.8,25.6,73.9,95.5,2362.9,596.4,1629.3,137.2,2013
"Louisiana",518.5,10.8,26.9,119.9,352.8,3582,890.4,2493.6,198,2013
"Maine",129.3,1.8,25.9,25.2,68.7,2292.2,488.1,1735.3,68.8,2013
"Maryland",473.8,6.4,19.9,169.5,272,2663.5,538.9,1898.3,226.3,2013
"Massachusetts",413.4,2,31.2,100.2,270.5,2051.2,459.2,1455.7,136.3,2013
"Michigan",449.9,6.4,46.5,102.1,274.8,2327.6,569.4,1510,248.3,2013
"Minnesota",234.4,2.1,25.9,67.8,127.5,2420.4,419,1854.4,147,2013
"Mississippi",274.6,6.5,23.9,80.5,156.5,2724.7,835.6,1742.3,146.7,2013
"Missouri",433.4,6.1,26.5,90.7,298.7,3137,643,2223.9,270.1,2013
"Montana",252.9,2.2,28.3,20.1,190.2,2556.5,400.3,1974,182.2,2013
"Nebraska",262.1,3.1,33,55.7,160.5,2623.4,476.3,1908.2,238.9,2013
"Nevada",603,5.8,39.1,185.8,360.6,2837.7,826,1653.4,358.3,2013
"New Hampshire",215.3,1.7,36.2,49,112.7,2194.3,373,1750.3,71,2013
"New Jersey",288.5,4.5,9.7,135.8,135.6,1882.8,403.1,1325.2,154.5,2013
"New Mexico",613,6,54,86.8,449.9,3704.8,1029.9,2391.8,283.2,2013
"New York",393.7,3.3,13.1,138.6,234.7,1824.8,287.2,1458.8,78.8,2013
"North Carolina",342.2,4.8,18.5,94.9,218.4,3128,921,2058.7,148.3,2013
"North Dakota",270.1,2.2,31.8,22.4,199.9,2094,405.6,1492.7,195.7,2013
"Ohio",286.2,3.9,24.4,124.2,123.2,2927.5,790.2,1968.5,168.8,2013
"Oklahoma",441.2,5.1,43.5,78.7,300.8,3273.7,866.1,2116.4,291.2,2013
"Oregon",254,2,37.1,61,142.7,3173.9,528.5,2394.5,250.9,2013
"Pennsylvania",335.4,4.7,20.7,115.6,185.7,2060.8,407.3,1545.6,107.8,2013
"Puerto Rico",258,24.4,0.7,166.4,66.3,1351.3,386.2,812.2,153,2013
"Rhode Island",257.2,2.9,29.2,65,147.4,2442,533.2,1696.4,212.4,2013
"South Carolina",508.5,6.2,31.8,83.2,373.6,3624.2,857.8,2502.9,263.5,2013
"South Dakota",316.5,2.4,41.3,18.8,236.2,1914.7,399.1,1404.6,111,2013
"Tennessee",590.6,5,25.3,112.5,436.9,3180.9,785.1,2213.7,182.1,2013
"Texas",408.3,4.3,28.4,120.2,246.9,3258.2,721.8,2287.8,248.6,2013
"Utah",224,1.7,34.3,42.8,130.4,2950.4,459.6,2233.4,257.3,2013
"Vermont",121.1,1.6,14.5,11.6,87.1,2214.2,528.7,1632.2,53.3,2013
"Virginia",196.2,3.8,19.1,55.3,109.7,2065.9,322.5,1640.1,103.3,2013
"Washington",289.1,2.3,25.8,83.5,166.4,3710.3,837,2465.9,407.4,2013
"West Virginia",300.3,3.3,24.6,35.1,226.7,2103.9,521.7,1478.9,103.3,2013
"Wisconsin",277.9,2.8,22.6,84.2,161.6,2188.7,424,1636,128.6,2013
"Wyoming",205.1,2.9,24.7,12.9,157.2,2198.4,335.5,1763.6,99.2,2013
"Alabama",427.4,5.7,29.6,96.9,283.4,3177.6,819,2149.5,209.1,2014
"Alaska",635.8,5.6,75.3,85.4,440.2,2760,427.6,2096.4,236,2014
"Arizona",399.9,4.7,36.6,92.8,252.1,3197.5,647.1,2289.1,261.3,2014
"Arkansas",480.1,5.6,39.8,69.1,346,3338,835.7,2313.5,188.8,2014
"California",396.1,4.4,21.6,125.5,236.6,2441.1,522.3,1527.4,391.3,2014
"Colorado",309.1,2.8,39.6,56.7,192.8,2530.1,438.2,1857.1,234.8,2014
"Connecticut",236.9,2.4,15.9,87.8,125,1920.4,332.4,1418.1,169.9,2014
"Delaware",489.1,5.8,26.6,135.6,306.4,2982,616.5,2230.1,135.4,2014
"District of Columbia",1244.4,15.9,53.4,530.7,626.1,5182.5,526,4082.3,574.1,2014
"Florida",540.5,5.8,30.4,125.2,366.4,3415.5,719.9,2481.5,214,2014
"Georgia",377.3,5.7,21.4,123,218.4,3281.2,756.9,2258.4,266,2014
"Hawaii",259.2,1.8,22.1,78,148.1,3050,547.9,2228.9,273.3,2014
"Idaho",212.2,2,28.6,12.5,160.5,1854.8,393.3,1359.9,101.6,2014
"Illinois",370,5.3,23.9,118.8,213.7,2075.9,388.2,1552.2,135.5,2014
"Indiana",365.3,5,24.5,104.5,222.6,2649.4,559.3,1880,210.1,2014
"Iowa",273.5,1.9,26.6,33.6,201.6,2093.8,464.4,1495.8,133.6,2014
"Kansas",348.6,3.1,37,46.9,250,2735.2,545,1952.4,237.8,2014
"Kentucky",211.6,3.6,20,75.6,99.8,2246.9,526.7,1577.1,143.2,2014
"Louisiana",514.7,10.3,21.3,122.5,352.4,3458.8,824.5,2421.6,212.7,2014
"Maine",127.8,1.6,27.1,22.9,66.9,1986.4,378.2,1548.2,60.1,2014
"Maryland",446.1,6.1,19.1,159.7,253.2,2507.5,468.7,1819.6,219.2,2014
"Massachusetts",391.4,2,24.1,89.5,267.6,1857.1,370.1,1364.5,122.5,2014
"Michigan",427.3,5.4,40.9,80.9,277.7,2043.9,445.9,1384.5,213.5,2014
"Minnesota",229.1,1.6,26.6,67.6,123.3,2297.5,380.7,1763.5,153.3,2014
"Mississippi",278.5,8.6,25.5,81.2,153.4,2921.2,813.3,1956.9,150.9,2014
"Missouri",442.9,6.6,28.1,92.2,304.8,2906.5,581.5,2055.3,269.8,2014
"Montana",323.7,3.6,42,19.8,247.4,2472.9,351.2,1922.1,199.6,2014
"Nebraska",280.4,2.9,33,55.4,176.2,2523.5,422.5,1864.1,236.8,2014
"Nevada",635.6,6,35,209.7,372.1,2625.4,772.3,1494.3,358.7,2014
"New Hampshire",196.1,0.9,34.5,40.5,110,1962.7,313.7,1584.4,64.6,2014
"New Jersey",261.2,3.9,10.7,117.5,125.6,1734.1,354.8,1248.3,131,2014
"New Mexico",597.4,4.8,51.4,100,421.8,3542.3,887.3,2353.4,301.6,2014
"New York",381.8,3.1,19.8,121.8,229.4,1718.2,257.2,1381.4,79.7,2014
"North Carolina",329.5,5.1,17.5,84.6,215.4,2873.1,798.2,1937.8,137.1,2014
"North Dakota",265.1,3,37.3,23.4,190.3,2110.3,366.1,1539.5,204.7,2014
"Ohio",284.9,4,35.3,110,127.4,2799.1,680,1963.6,155.4,2014
"Oklahoma",406,4.5,32.9,78.6,277,2990.7,760.9,1956.9,272.9,2014
"Oregon",232.3,2,26.5,52.7,140.8,2879,434,2204.6,240.5,2014
"Pennsylvania",314.1,4.8,21.8,105.8,173.5,1931.7,357.5,1472.2,102,2014
"Puerto Rico",236.2,19.2,1.2,145.7,69.7,1285.7,339.2,815.8,130.7,2014
"Rhode Island",219.2,2.4,24,50.1,132.5,2173.6,457.1,1542.8,173.7,2014
"South Carolina",497.7,6.4,30.6,82.7,365.8,3460.3,759.9,2433.4,267,2014
"South Dakota",326.5,2.3,48.4,23.4,245.7,1863.9,330.3,1415.5,118,2014
"Tennessee",608.4,5.7,28.4,110.9,453.2,3060.6,712.2,2156,192.4,2014
"Texas",405.9,4.4,30.6,115.7,243.6,3019.4,627.8,2137.3,254.3,2014
"Utah",215.6,2.3,32.1,44.6,119.4,2878.5,391.4,2239.1,248,2014
"Vermont",99.3,1.6,15.8,11.2,68.9,1524.4,324.6,1160.8,38.9,2014
"Virginia",196.2,4.1,17.2,51.5,112.9,1930.3,277.7,1560.5,92.1,2014
"Washington",285.2,2.5,30.7,79.9,164.7,3706.1,783,2489.1,434,2014
"West Virginia",302,4,15.4,35.2,235.5,2034.7,484.9,1447.3,102.5,2014
"Wisconsin",290.3,2.9,20.3,88,170.4,2088.3,368.5,1547.6,172.3,2014
"Wyoming",195.5,2.7,21.6,9.1,153.9,1964.7,289.1,1572.4,103.2,2014
"Alabama",472.4,7.2,30,94.9,328.3,2978.9,725.6,2040.7,212.7,2015
"Alaska",730.2,8,88,103.1,497.1,2817.6,475.5,2065.1,277.1,2015
"Arizona",410.2,4.5,33.6,93.1,267.1,3033.2,555.9,2231.5,245.8,2015
"Arkansas",521.3,6.1,43.7,70.4,380,3251.5,760.2,2297.5,193.8,2015
"California",426.3,4.8,24,135,253.8,2618.3,504.3,1677.1,436.8,2015
"Colorado",321,3.2,43.6,60.9,197.2,2641.5,429.8,1918.5,293.2,2015
"Connecticut",218.5,3.3,16.2,80.5,113.1,1812,280,1355.5,176.5,2015
"Delaware",499,6.7,25.7,130.6,325.7,2691,504.6,2061.6,124.9,2015
"District of Columbia",1269.1,24.1,54.4,556.7,614.8,4676.2,442,3748.7,485.5,2015
"Florida",461.9,5.1,26.8,104.3,315.2,2813.2,539,2073.6,200.6,2015
"Georgia",378.3,6,22.5,119.9,220.8,3022.3,649.8,2113.3,259.2,2015
"Hawaii",293.4,1.3,27.9,84,168.9,3796.2,458,2934.5,403.7,2015
"Idaho",215.6,1.9,32.2,11.6,160.1,1743.8,370,1260.7,113.1,2015
"Illinois",383.8,5.8,27.6,115.9,224.6,1988.6,361.1,1490.2,137.3,2015
"Indiana",387.5,5.6,27,107.4,238.2,2596,519.8,1872,204.2,2015
"Iowa",286.1,2.3,27.2,33.5,213.2,2047.3,476.7,1431.6,139,2015
"Kansas",389.9,4.4,43,62.4,267.6,2720.1,527.6,1953.5,238.9,2015
"Kentucky",218.7,4.7,22.5,74.7,105.5,2177.6,503,1498.7,175.9,2015
"Louisiana",539.7,10.3,27,118.8,373.7,3353.4,759,2385.8,208.6,2015
"Maine",130.1,1.7,26.6,23.4,69.3,1830,352.4,1416.4,61.2,2015
"Maryland",457.2,8.6,19.7,164.2,256.7,2315,427.5,1668.5,218.9,2015
"Massachusetts",390.9,1.9,23.7,77.8,280.7,1690.7,322.2,1249.7,118.8,2015
"Michigan",415.5,5.8,42,78.6,266.2,1885.6,403.5,1323.2,158.9,2015
"Minnesota",242.6,2.4,30.7,68.7,129.2,2222.1,351.6,1725.2,145.4,2015
"Mississippi",275.8,8.7,28.8,76.7,150.3,2833.6,828.8,1863,141.8,2015
"Missouri",497.4,8.3,30.5,104.8,342.4,2854.2,559,2015.8,279.4,2015
"Montana",349.6,3.5,41.7,20.3,272.8,2623.6,371.6,2017.9,234.1,2015
"Nebraska",274.9,3.3,34.4,52.4,173.1,2241.1,338.7,1691.4,211,2015
"Nevada",695.9,6.2,42.8,217.5,413.9,2668.3,773.5,1502.2,392.7,2015
"New Hampshire",199.3,1.1,34.6,35.2,116,1745.7,260.6,1418.2,67,2015
"New Jersey",255.4,4.1,11.4,108.6,127.4,1626.5,312.1,1182.9,131.5,2015
"New Mexico",656.1,5.6,58.3,119.2,451.2,3697.4,819.4,2469.1,408.9,2015
"New York",379.7,3.1,22.2,120.9,225,1604,223.7,1303,77.4,2015
"North Carolina",347,5.1,19.3,87.9,227.3,2750.1,745.2,1871.1,133.8,2015
"North Dakota",239.4,2.8,36.5,19.6,171.5,2116.5,395.9,1511.4,209.1,2015
"Ohio",291.9,4.3,35.8,108.1,135.1,2587.7,596.7,1842.6,148.4,2015
"Oklahoma",422,6,34.6,76.8,291.9,2885.9,726.2,1892.5,267.2,2015
"Oregon",259.8,2.5,28.9,53.3,164.6,2946.6,455.1,2229.7,261.8,2015
"Pennsylvania",315.1,5.1,24.4,101.6,174.8,1812.8,309.8,1408.2,94.8,2015
"Puerto Rico",219.6,16.8,3.5,117.1,80.9,1085.6,263.4,705,117.3,2015
"Rhode Island",242.5,2.7,32,52.6,143.7,1897.5,373.7,1392.3,131.5,2015
"South Carolina",504.5,8.1,34.9,80.3,369.1,3293.3,705.7,2322.7,264.9,2015
"South Dakota",383.1,3.7,51.4,25.2,296.6,1943,344.8,1459.8,138.4,2015
"Tennessee",612.1,6.2,29.8,113.2,452.2,2936.2,655.2,2086,195,2015
"Texas",412.2,4.8,32.5,116.3,246.6,2831.3,557.2,2028.5,245.7,2015
"Utah",236,1.8,36.6,44.3,135.1,2980,416.2,2273.2,290.6,2015
"Vermont",118,1.6,19.3,16.1,78.6,1406.6,314.4,1063.8,28.4,2015
"Virginia",195.6,4.6,17.8,53,110.2,1866.5,254.6,1515.2,96.8,2015
"Washington",284.4,2.9,30.6,76,167.8,3463.8,711.2,2378,374.7,2015
"West Virginia",337.9,3.8,22.8,41.2,256.4,2020,497.3,1401.3,121.4,2015
"Wisconsin",305.8,4.2,21.2,90.7,180.1,1974,338.8,1444.8,190.3,2015
"Wyoming",222.1,2.7,21.3,10.1,179.8,1902.6,300.6,1500.9,101,2015
"Alabama",532.3,8.4,28.5,96.4,388.2,2947.8,700.5,2006.3,241.1,2016
"Alaska",804.2,7,102,114.6,540.6,3353,546.3,2394.7,412.1,2016
"Arizona",470.1,5.5,35.4,101.8,315.4,2978.4,544.4,2168.1,265.8,2016
"Arkansas",550.9,7.2,51.7,70.9,401,3268.6,795.5,2233.6,239.4,2016
"California",445.3,4.9,25.9,139.6,265.9,2553,479.8,1623,450.3,2016
"Colorado",342.6,3.7,47.3,63.7,211.1,2740.7,431.4,1955.3,354,2016
"Connecticut",227.1,2.2,15.7,75.6,128,1808,280.9,1328.5,198.7,2016
"Delaware",508.8,5.9,23.2,142.7,327.8,2766,527.6,2078.7,159.7,2016
"District of Columbia",1205.9,20.4,58.9,510.9,596.5,4802.9,346.6,4019.8,436.5,2016
"Florida",430.3,5.4,26.8,97.9,290.2,2686.8,486.7,1990.8,209.3,2016
"Georgia",397.6,6.6,24.5,118.4,238.5,3004.5,614.4,2130.1,259.9,2016
"Hawaii",309.2,2.5,31.3,69.6,193.8,2992.7,421.2,2175.8,395.8,2016
"Idaho",230.3,2.9,31.4,12.7,172,1744.2,375.4,1245.4,123.4,2016
"Illinois",436.3,8.2,28.4,139.3,250.5,2049,374.9,1518.6,155.5,2016
"Indiana",404.7,6.6,27.9,110.5,249.9,2589.4,514,1853.3,222.1,2016
"Iowa",290.6,2.3,29.4,36.6,212,2086,479.5,1447.6,159,2016
"Kansas",380.4,3.8,33.4,57.5,274,2695.5,494.1,1962.9,238.6,2016
"Kentucky",232.3,5.9,26.5,75.9,113.5,2189.7,469.6,1497.4,222.8,2016
"Louisiana",566.1,11.8,28.4,119.1,396.4,3297.7,740.5,2336.3,220.8,2016
"Maine",123.8,1.5,22.5,20,71.3,1645.7,300.6,1286.8,58.2,2016
"Maryland",472,8,21,171,263.8,2284.5,410.4,1677.4,196.7,2016
"Massachusetts",376.9,2,23.4,78.8,265,1561.1,281.8,1161,118.3,2016
"Michigan",459,6,51.5,71.7,309.5,1909.9,398.5,1308.1,203.2,2016
